frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
16,2,[811.6322021484375 1468.7401123046875 1519.5029296875 2109.12255859375],[1033.2386474609375 1904.7352294921875 1284.8297119140625 1981.042236328125],0.4179117977619171,NA13NRU,0.7953566050855108
16,4,[2333.347412109375 1230.5982666015625 2949.6015625 1840.8668212890625],[2552.193115234375 1661.1279296875 2729.097412109375 1721.1669921875],0.17500780522823334,N51VSU,0.3413339214104101
17,2,[810.3496704101562 1475.4017333984375 1516.28515625 2113.576171875],[1036.68359375 1920.509765625 1292.8355712890625 1997.8355712890625],0.2281397134065628,NA13NRU,0.9517812967297448
18,4,[2332.05029296875 1245.35986328125 2951.394775390625 1851.4007568359375],[2554.303466796875 1670.9306640625 2739.318359375 1740.0533447265625],0.2951556146144867,M51YSU,0.41881434053051664
18,2,[805.1021118164062 1488.112060546875 1516.0865478515625 2123.671630859375],[1033.8675537109375 1926.9625244140625 1274.0394287109375 1997.80859375],0.19752879440784454,NA13NRU,0.987035967504001
19,4,[2332.78515625 1252.7537841796875 2952.075439453125 1854.5830078125],[2553.997802734375 1675.337890625 2741.25390625 1746.048828125],0.23887984454631805,IM51VSU,0.2643311775757961
19,2,[806.6423950195312 1494.1160888671875 1512.46826171875 2127.251708984375],[1029.295166015625 1930.010986328125 1273.646728515625 2013.4378662109375],0.17327474057674408,NA13NRU,0.9480706501540401
20,2,[803.2505493164062 1498.31005859375 1514.2020263671875 2138.066162109375],[1029.6673583984375 1940.7635498046875 1273.002197265625 2023.9029541015625],0.3094099462032318,NA13NRU,0.9673479572454099
20,4,[2337.930419921875 1255.51171875 2955.728271484375 1862.61474609375],[2554.858642578125 1686.266845703125 2744.45703125 1751.82421875],0.2796103060245514,X751VSU,0.25802195888847873
21,2,[797.1854248046875 1502.901123046875 1511.211669921875 2143.38671875],[1020.6580200195312 1955.960205078125 1270.6810302734375 2025.151611328125],0.24252811074256897,NA13NRU,0.8649192289172247
22,2,[791.4646606445312 1507.4586181640625 1511.0052490234375 2146.1767578125],[1008.7062377929688 1954.824462890625 1271.678955078125 2032.5064697265625],0.20185723900794983,NA13NRU,0.9865936450233264
22,6,[1318.7054443359375 1073.440185546875 1857.2596435546875 1499.2100830078125],[1504.232666015625 1356.607421875 1673.5679931640625 1408.7125244140625],0.10419939458370209,GX15OGJ,0.5701321811983435
23,4,[2342.07958984375 1268.6629638671875 2965.22900390625 1887.82080078125],[2555.875 1703.4520263671875 2746.602294921875 1770.900390625],0.38101667165756226,MM51VSU,0.410656254823559
23,2,[785.4030151367188 1515.4019775390625 1508.89404296875 2149.040771484375],[1013.3982543945312 1964.364501953125 1274.2401123046875 2049.702880859375],0.2521614134311676,NA13NRU,0.9955495955235679
24,4,[2344.80126953125 1267.85693359375 2964.28369140625 1897.6981201171875],[2556.640625 1709.486328125 2749.870361328125 1773.9937744140625],0.3518816828727722,H51VSU,0.6331145063927514
25,4,[2344.188232421875 1270.5589599609375 2965.992431640625 1901.2452392578125],[2558.729248046875 1714.9022216796875 2750.799560546875 1780.3255615234375],0.36386817693710327,M51VSU,0.272374481497256
25,2,[776.007568359375 1529.6085205078125 1507.5167236328125 2145.782470703125],[997.2320556640625 1987.2271728515625 1270.1976318359375 2081.764404296875],0.10329582542181015,NA13NRU,0.9637078818532661
26,4,[2346.072021484375 1279.890869140625 2969.015869140625 1909.885009765625],[2562.325927734375 1721.635986328125 2755.5576171875 1792.7703857421875],0.3640335202217102,WV51VSU,0.31436064294707955
26,2,[773.40478515625 1539.3138427734375 1504.8480224609375 2148.23095703125],[1001.6910400390625 1997.2264404296875 1265.1668701171875 2081.394775390625],0.2543286085128784,NA13NRU,0.9443328186078153
26,6,[1308.644775390625 1086.734130859375 1854.7474365234375 1523.5369873046875],[1501.2886962890625 1369.6748046875 1656.5413818359375 1423.8701171875],0.13407960534095764,G15OGJ,0.5598612886956683
27,4,[2344.51220703125 1283.8228759765625 2972.595703125 1920.7572021484375],[2560.333740234375 1726.571533203125 2759.574951171875 1807.4937744140625],0.45371314883232117,HU51VSU,0.4779452115823281
27,2,[765.9974365234375 1548.080810546875 1503.74755859375 2149.8115234375],[997.5673828125 2003.5447998046875 1260.3876953125 2090.481201171875],0.31565427780151367,NA13NRU,0.9708774870564295
28,4,[2346.099853515625 1283.201904296875 2971.9384765625 1924.2733154296875],[2560.228515625 1729.4432373046875 2758.820068359375 1808.2572021484375],0.43027743697166443,MI51VSU,0.15405875344344377
28,2,[755.5525512695312 1550.8968505859375 1504.50927734375 2147.8037109375],[992.9308471679688 2008.09765625 1262.9722900390625 2094.29931640625],0.10826784372329712,NA13NRU,0.9251059095573847
29,4,[2346.51171875 1283.4683837890625 2977.29638671875 1931.5634765625],[2562.854248046875 1743.6676025390625 2749.9189453125 1810.0360107421875],0.5167475342750549,HW51VSU,0.2161432040448929
29,2,[750.630859375 1561.4696044921875 1504.18798828125 2147.17333984375],[1008.8344116210938 2024.835205078125 1248.3109130859375 2105.577392578125],0.10794016718864441,NA13NRU,0.6918558437333451
30,4,[2350.449951171875 1286.3482666015625 2976.283447265625 1942.553955078125],[2559.931396484375 1724.2294921875 2762.5703125 1815.7786865234375],0.1288330852985382,T51VSU,0.4349404290773532
30,2,[730.5599975585938 1575.32958984375 1501.29052734375 2145.062255859375],[989.3601684570312 2042.7515869140625 1260.81640625 2128.02587890625],0.10152000933885574,NA13NRU,0.7891959523400599
31,4,[2350.895751953125 1290.6578369140625 2978.263671875 1949.5103759765625],[2565.676025390625 1754.3453369140625 2763.597900390625 1823.6640625],0.3882409334182739,I751VSU,0.22309519518811036
31,2,[729.7827758789062 1579.415283203125 1501.7899169921875 2140.94482421875],[986.2130737304688 2046.761962890625 1260.4892578125 2131.81787109375],0.1735006868839264,N43NRU,0.7669831625378664
32,4,[2351.756103515625 1299.0274658203125 2983.888916015625 1955.53662109375],[2562.18115234375 1766.927978515625 2768.093505859375 1831.9862060546875],0.4154394268989563,N51VSU,0.8930069823958604
32,2,[737.859619140625 1589.466796875 1500.5965576171875 2145.083984375],[971.3560791015625 2056.05908203125 1251.517822265625 2136.003662109375],0.2244039922952652,N41JNR,0.8293595593467512
33,4,[2346.989990234375 1299.9132080078125 2985.687744140625 1964.599609375],[2579.265869140625 1776.8609619140625 2767.750244140625 1838.3046875],0.45638716220855713,NU51VSU,0.5662692006756074
33,6,[1290.329345703125 1109.04052734375 1840.8714599609375 1555.2806396484375],[1477.3125 1409.7479248046875 1630.3314208984375 1458.880859375],0.11234482377767563,GX15OGJ,0.7599237829697288
